Timestamp,Game,Which nerds played,Which nerds won?
1/24/2016 2:48:04,Blukes,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:50:57,Dominion,"Jamie, Archer, Maddy, Jon, Billy, Other nerds",Jamie
1/24/2016 2:51:00,Dominion,"Jamie, Archer, Maddy, Jon, Billy, Other nerds",Jamie
1/24/2016 2:51:16,Nintey Nine,"Jamie, Archer, Maddy",Jamie
1/24/2016 2:51:20,Dominion,"Jamie, Archer, Maddy, Jon",Archer
1/24/2016 2:51:23,Dominion,"Jamie, Archer, Maddy, Jon",Archer
1/24/2016 2:51:29,Dominion,"Jamie, Archer, Maddy, Jon",Jon
1/24/2016 2:51:31,Nintey Nine,"Jamie, Archer, Maddy",Archer
1/24/2016 2:51:46,Nintey Nine,"Jamie, Archer, Maddy",Archer
1/24/2016 2:54:04,Dominion,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:54:07,Dominion,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:54:09,Dominion,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:54:11,Dominion,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:54:13,Dominion,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:54:31,Nintey Nine,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:54:44,Firefly,"Jamie, Archer, Maddy, Jon, Billy",Archer
1/24/2016 2:54:53,Firefly,"Jamie, Archer, Maddy, Jon, Billy",Jamie
1/24/2016 2:55:00,Firefly,"Jamie, Archer, Maddy",Jamie
1/24/2016 2:55:18,Firefly,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:55:23,Firefly,"Archer, Maddy",Maddy
1/24/2016 2:55:38,Ninety Nine,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:55:51,Ninety Nine,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:55:56,Cosmics,"Jamie, Archer, Maddy, Jon",Jon
1/24/2016 2:56:00,Ninety Nine,"Jamie, Archer, Maddy",Maddy
1/24/2016 2:56:18,Spades,"Jamie, Archer, Maddy, Jon","Jamie, Maddy"
1/24/2016 2:56:37,Hearts,"Archer, Maddy, Jon, Billy",Archer
1/24/2016 2:56:58,Five Hundred,"Jamie, Archer, Maddy, Billy","Archer, Billy"
1/24/2016 2:57:13,Ticket to Ride,"Jamie, Archer, Maddy, Billy",Billy
1/24/2016 2:57:23,Ticket to Ride,"Jamie, Archer, Maddy, Billy",Archer
1/24/2016 2:58:38,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
1/24/2016 2:58:42,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
1/24/2016 2:58:44,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
1/24/2016 2:58:49,Five Hundred,"Jamie, Archer, Maddy, Jon","Jamie, Maddy"
1/24/2016 2:59:32,Settlers of Catan,"Jamie, Archer, Maddy",Jamie
1/24/2016 2:59:39,Settlers of Catan,"Jamie, Archer, Maddy, Jon, Billy, Other nerds",Jon
1/24/2016 16:09:29,Blukes,"Jamie, Archer, Maddy, Jon, Billy",Maddy
1/24/2016 20:46:26,Ninety Nine,"Jamie, Archer, Maddy",Archer
1/24/2016 23:43:16,Blukes,"Jamie, Archer, Maddy, Jon, Billy",Maddy
1/25/2016 21:45:53,Blukes,"Jamie, Archer, Maddy",Jamie
1/27/2016 19:44:03,Spades,"Jamie, Archer, Maddy, Jon","Archer, Jon"
1/27/2016 19:44:28,Spades,"Jamie, Archer, Maddy, Jon","Archer, Jon"
1/28/2016 16:22:54,Dominion,"Jamie, Archer, Maddy, Jon",Maddy
1/29/2016 16:19:39,Firefly,"Jamie, Archer, Maddy",Maddy
1/29/2016 17:53:58,Ninety Nine,"Jamie, Archer, Maddy",Maddy
1/29/2016 22:28:49,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
1/30/2016 2:14:42,Blukes,"Jamie, Archer, Maddy",Maddy
1/31/2016 0:26:52,Blukes,"Jamie, Archer, Maddy",Jamie
2/2/2016 1:34:56,Blukes,"Jamie, Archer, Maddy",Archer
2/2/2016 23:28:27,Blukes,"Jamie, Archer, Maddy",Jamie
2/3/2016 19:48:09,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
2/3/2016 21:06:29,Blukes,"Jamie, Archer, Maddy, Jon, Billy",Maddy
2/5/2016 16:47:04,Dominion,"Jamie, Archer, Maddy",Jamie
2/5/2016 17:30:56,Mr. Game,"Jamie, Archer, Maddy, Jon",Jon
2/5/2016 18:15:38,Mr. Game,"Jamie, Archer, Maddy, Jon","Jamie, Maddy"
2/6/2016 17:32:33,Hearts,"Jamie, Archer, Maddy, Jon",Jon
2/8/2016 23:59:20,Blukes,"Jamie, Archer, Maddy, Jon",Jamie
2/10/2016 22:53:17,Mr. Game,"Jamie, Archer, Maddy, Jon, Billy, Other nerds","Archer, Maddy, Jon, Other nerds"
2/12/2016 17:04:27,Ninety Nine,"Jamie, Jon, Billy",Jamie
2/12/2016 23:58:47,Blukes,"Jamie, Maddy, Billy",Maddy
2/13/2016 22:32:20,Blukes,"Jamie, Maddy, Jon, Billy",Maddy
2/15/2016 21:14:56,Hearts,"Jamie, Archer, Maddy, Billy",Archer
2/16/2016 23:20:18,Blukes,"Jamie, Archer, Maddy, Jon",Jamie
2/16/2016 23:20:36,Ninety Nine,"Jamie, Maddy, Billy",Jamie
2/17/2016 17:51:58,Munchkin,"Jamie, Archer, Maddy, Jon, Billy",Jamie
2/19/2016 0:47:38,Ninety Nine,"Jamie, Archer, Maddy",Maddy
2/19/2016 19:04:24,Dominion,"Jamie, Archer, Jon, Billy",Jamie
2/20/2016 0:13:53,Blukes,"Jamie, Archer, Maddy, Jon, Billy",Archer
2/20/2016 16:31:56,Dominion,"Jamie, Archer, Maddy, Jon, Billy",Archer
2/20/2016 17:23:30,Five Hundred,"Jamie, Archer, Maddy, Billy","Archer, Billy"
2/22/2016 17:53:14,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
2/22/2016 18:25:04,Five Hundred,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
2/22/2016 20:26:25,Munchkin,"Jamie, Archer, Maddy, Billy",Jamie
2/23/2016 18:07:48,Ninety Nine,"Jamie, Maddy, Jon",Jon
2/24/2016 18:18:52,Ninety Nine,"Jamie, Archer, Maddy",Archer
2/24/2016 18:36:18,Ticket to Ride,"Jamie, Archer, Maddy, Jon, Billy",Archer
2/24/2016 22:46:55,Hearts,"Jamie, Archer, Jon, Billy",Jon
2/25/2016 18:06:58,Cosmics,"Jamie, Archer, Maddy, Jon, Billy",Maddy
2/26/2016 19:01:09,Dominion,"Jamie, Archer, Maddy, Jon, Billy",Billy
2/26/2016 20:51:47,Blukes,"Jamie, Archer, Maddy",Archer
2/26/2016 21:36:19,Settlers of Catan,"Jamie, Archer, Maddy",Maddy
2/27/2016 0:27:25,Blukes,"Jamie, Archer, Maddy, Jon",Maddy
2/27/2016 23:12:56,Firefly,"Jamie, Archer, Maddy, Billy","Archer, Billy"
3/3/2016 0:15:33,Hearts,"Jamie, Archer, Maddy, Billy",Maddy
3/3/2016 16:46:20,Dominion,"Jamie, Archer, Maddy, Billy",Archer
3/5/2016 11:51:16,Ninety Nine,"Archer, Jon, Billy",Archer
3/7/2016 22:58:12,Munchkin,"Jamie, Archer, Maddy, Billy",Maddy
3/11/2016 0:40:26,Firefly,"Jamie, Archer, Maddy, Jon, Billy",Maddy
3/11/2016 22:34:28,Spades,"Jamie, Archer, Maddy, Billy","Jamie, Maddy"
3/12/2016 19:11:57,Blukes,"Jamie, Archer, Maddy, Jon, Billy",Jon
3/12/2016 22:45:19,Five Hundred,"Jamie, Archer, Maddy, Billy","Archer, Billy"
3/13/2016 22:17:49,Hearts,"Jamie, Archer, Maddy, Billy",Jamie
